last_name,first_name,full_name,aka,dob,dod,films_appeared,films_directed,films_produced,films_camerawork
Jones,Peter P.,Peter P. Jones,,,,,"The Slacker,The Troubles of Sambo and Dinah,Colored Soldiers Fighting in Mexico,The Dawn of Truth,Progress of the Negro,Re-Birth of a Nation","The Troubles of Sambo and Dinah,The Slacker,Colored Soldiers Fighting in Mexico,The Dawn of Truth,Progress of the Negro,Re-Birth of a Nation","For the Honor of the 8th Ill. U.S.A.,The Dawn of Truth,Negro Soldiers Fighting for Uncle Sam,The Troubles of Sambo and Dinah,The Slacker"
Jones,Wesley,Wesley Jones,,,,Uncle Remus' First Visit to New York,,,
Jones,Maud,Maud Jones,,,,Uncle Remus' First Visit to New York,,,
Jones,Clayburn,Clayburn Jones,,,,The Fall of the Mighty,,,
Jones,Lila Walker,Lila Walker Jones,,,,A Regeneration of Souls,,,
Jones,Solomon Sir,Solomon Sir Jones,,1/1/1869,1/1/36,,,,
Jordan,Sam,Sam Jordan,,,,The Flying Ace,,,
Joyce,Andrian,Andrian Joyce,,,,For His Mother's Sake,,,
Joynes,Elvin,Elvin Joynes,,,,The Barber,,,
Junior,Yvonne,Yvonne Junior,,,,"The Janitor,Ghosts,The Comeback of Barnacle Bill",,,
Kalana,Thias Nehli,Thias Nehli Kalana,,,,Loyal Hearts,,,
Kelly,Howard,Howard Kelly,,,,The Barber,,,
Kelly,Mabel,Mabel Kelly,,,,"Thirty Years Later,The Midnight Ace",,,
Kelly,Robert A.,Robert A. Kelly,,,,Lovie Joe's Romance,,,
Kelson,Anna,Anna Kelson,,,,The Flames of Wrath,,,
Kemp,Mae,Mae Kemp,,,,The Call of His People,,,
Kennedy,Ann,Ann Kennedy,Annie Kennedy,,,The Scar of Shame,,,
Kinbrough,Baby Ruth,Baby Ruth Kinbrough,,,,By Right of Birth,,,
King,Webb,Webb King,,,,"By Right of Birth,A Man's Duty,Georgia Rose",,,
King,F.,F. King,,,,The Colored American Winning His Suit,,,
King,Edward E.,Edward E. King,,,,The Symbol of the Unconquered,,,
Kirby,Frank,Frank Kirby,,,,,,,A Giant of His Race
Kroll,Alex,Alex Kroll,,,,The Gunsaulus Mystery,,,
La Rue,John,John La Rue,,,,Reckless Money,,,
Ladd,Bernice,Bernice Ladd,,,,Within Our Gates,,,
Lane,Sammie,Sammie Lane,,,,Eleven P.M.,,,
Langford,Sam,Sam Langford,,3/4/1883,1/12/56,"The Brute,Haynes Newsreel No. 1,Haynes Newsreel No. 3",,,
Larkin,George,George Larkin,,,,"The Bull-Dogger,The Crimson Skull",,,
Lawson,Fighting Bob,Fighting Bob Lawson,,,,The Fighting Deacon,,,
Lee,Will,Will Lee,,,,"Smiling Hate,Steppin' High",,,
Lee,Johnny,Johnny Lee,,,,St. Louis Blues,,,
Leighton,Fred,Fred Leighton,,,,The Colored American Winning His Suit,,,
Lemonier,Tom,Tom Lemonier,,,,The Troubles of Sambo and Dinah,,,
Levy,Robert,Robert Levy,,,,,"The Schemers,Easy Money,The Simp,Ties of Blood,The Leader of His Race ,Eyes of Youth","The Sport of the Gods,Ties of Blood,Eyes of Youth,The Leader of His Race ",
Lewin,George,George Lewin,,,,The Janitor,,,
Lewis,Edgar,Edgar Lewis,,,,,,The Bar Sinister,
Lewis,Warren,Warren Lewis,,,,Boy What a Girl,,,
Lewis,Mae,Mae Lewis,,,,The Greatest Sin,,,
Ligouri,Al,Al Ligouri,,,,,,,The Scar of Shame
Lillison,Edgar,Edgar Lillison,Edgar Lillerson,,,"The Railroad Porter,The Barber",,,
Lincoln,Rosa Lee,Rosa Lee Lincoln,,,,Absent,,,
Loach,Lena,Lena Loach,,,,The Symbol of the Unconquered,,,
Lochart,Ida,Ida Lochart,,,,The Fall of the Mighty,,,
Long,Walter,Walter Long,,,,"The Devil's Match,His Great Chance,A Shot in the Night",,,
Loveless,Henrietta,Henrietta Loveless,Henrietta Lovelass,,,Spider's Web,,,
Lucas,Buck,Buck Lucas,,,,The Bull-Dogger,,,
Lucas,Charles D.,Charles D. Lucas,,,,"Within Our Gates,The Homesteader",,,
Lucas,George,George Lucas,,,,Deceit,,,
Luquet,Andre,Andre Luquet,,,,The Revue des Revues,,,
Lyles,Aubrey,Aubrey Lyles,,,,"Harlem Knights,Harlem Mania",,,
Mabel,Homes,Homes Mabel,,,,,,,
MacCullough,Jack,Jack MacCullough,,,,,Do the Dead Talk?,,
Mahon,Carl,Carl Mahon,,2/2/06,9/12/92,The Exile,,,
Major,Cincinattus,Cincinattus Major,,,,Spider's Web,,,
Mankins,Roxie,Roxie Mankins,,,,The Flames of Wrath,,,
Marshall,John,John Marshall,Colonel John R. Marshall,,,"Chicago's Business Activities and Scenes along State Street/Chicago Businesses and Secret Orders,YMCA Dedication",A Day at Tuskegee,,
Marshall,Jimmy,Jimmy Marshall,,,,Aladdin Jones,,,
Marshall ,Matt,Matt Marshall ,,,,The Troubles of Sambo and Dinah,,,
Martin,Daisy,Daisy Martin,,,,Spitfire,,,
Mason,Ruby,Ruby Mason,,,,The Sport of the Gods,,,
Mason,Julia,Julia Mason,,,,"Are Working Girls Safe?,A Black and Tan Mix-Up,A Black Sherlock Holmes,The Bully,The Comeback of Barnacle Bill,Dat Blackhand Waitah Man,Devil for a Day,Do the Dead Talk?,Fixing the Faker,The Porters,Shine Johnson and the Rabbit Foot,When Cupid Went Wild,When You Are Scared Run,When You Hit Hit Hard,Wrong All Around,Ghosts,Good Luck in Old Clothes",,,
Mason,Youth,Youth Mason,,,,A Modern Cain,,,
Massey,P.,P. Massey,,,,The Wife Hunters,,,
Maurice,Richard Danal,Richard Danal Maurice,,,,"Eleven P.M.,Nobody's Children","Eleven P.M.,Return of Black Hawk","Eleven P.M.,Return of Black Hawk",
Maurice,Richard,Richard Maurice,,,,Nobody's Children,,,
Maxwell,M.C.,M.C. Maxwell,,,,Regeneration,,,
Mayo,Stella,Stella Mayo,,,,Regeneration,,,
Mays-Sibil,Betti,Betti Mays-Sibil,,,,Boy What a Girl,,,
McCalla,Vernon,Vernon McCalla,,,,,,,
McClain,Florence,Florence McClain,,,,Aladdin Jones,,,
McCormack,Pearl,Pearl McCormack,,,,The Scar of Shame,,,
McFall,S.B.,S.B. McFall,,,,,,,
McGarr,, McGarr,,,,The Fall of the Mighty,,,
McGowan,Ira O.,Ira O. McGowan,,,,Deceit,,,
McGuire,Lawrence,Lawrence McGuire,,,,Hearts of the Woods,,,
McKinney,Catatin T.N.,Catatin T.N. McKinney,,,,,,,
McKinney,Nina Mae,Nina Mae McKinney,,,,,,,
McLane,Lorenzo,Lorenzo McLane,,,,Spider's Web,,,
Meehan,Lew,Lew Meehan,,,,By Right of Birth,,,
Michaels,Daniel,Daniel Michaels,,,,,,Love and Undertakers,
Micheaux,Oscar,Oscar Micheaux,,1/1/1884,,,"The Wages of Sin,The Gunsaulus Mystery,The Brute,Easy Street,When Men Betray,Uncle Jasper's Will,Thirty Years Later,Birthright,Body and Soul,The Broken Violin,The Conjure Woman,A Daughter of the Congo,Deceit,The Devil's Disciple,The Dungeon,The Homesteader,Within Our Gates,The Symbol of the Unconquered,The Virgin of Seminole,A Son of Satan,The House Behind the Cedars,Marcus Garland,Spider's Web,The Exile","The Wages of Sin,The Millionaire,The Brute,When Men Betray,Uncle Jasper's Will,Thirty Years Later,Birthright,Body and Soul,The Broken Violin,The Conjure Woman,Deceit,The Devil's Disciple,The Dungeon,The Homesteader,Within Our Gates,The Symbol of the Unconquered,The Virgin of Seminole,A Son of Satan,The House Behind the Cedars,Marcus Garland,Spider's Web,The Midnight Ace,The Gunsaulus Mystery",
Micheaux,Swan,Swan Micheaux,,,,,The Midnight Ace,,
Mickey,Arline,Arline Mickey,,,,"Children of Fate,A Prince of His Race,Ten Nights in a Bar-Room ",,,
Milburn,I,I Milburn,,,,,,,
Miles,Viola,Viola Miles,,,,Deceit,,,
Miller,Mrs. Irvin C.,Mrs. Irvin C. Miller,,,,Deceit,,,
Miller,Walt,Walt Miller,,,,,,,
Miller,Fournoy E.,Fournoy E. Miller,,,,"Harlem Rides The Range,Harlem Knights,Harlem Mania",,,
Mills,Billy,Billy Mills,,,,The Love Bug,,,
Mills,Jerry,Jerry Mills,,,,The Grafter and the Maid,,,
Mills,Gertrude,Gertrude Mills,,,,Shadowed by the Devil,,,
Milton,William,William Milton,,,,Smiling Hate,,,
Miner,Leigh Richmond,Leigh Richmond Miner,,1/1/1864,1/1/35,Cephas Returns,John Henry at Hampton: A Kind of Student Who Makes Good,"The New Era,Cephas Returns","John Henry at Hampton: A Kind of Student Who Makes Good,Making Negro Lives Count"
Mines,Callie,Callie Mines,,,,Birthright,,,
Mitchell,Abbie,Abbie Mitchell,,,,"Uncle Remus' First Visit to New York,Eyes of Youth",,,
Mitchell,Dora,Dora Mitchell,,,,By Right of Birth,,,
Mitchell,Dolores L. ,Dolores L.  Mitchell,,,,,,,
Mix,Victor,Victor Mix,Victor Nix,,,The Greatest Sin,,,
Molyneaux,, Molyneaux,,,,,,,
Monagas,Lionel,Lionel Monagas,,,,The Millionaire,,,
Montgomery,Frank,Frank Montgomery,,,,Aladdin Jones,,Love and Undertakers,
Moore,W.H.A.,W.H.A. Moore,,,,,,,
Moore,Edward,Edward Moore,,,,Ten Nights in a Bar-Room ,,,
Moore,Charles,Charles Moore,"Charlie, Chas",4/23/1893,7/20/47,"A Daughter of the Congo,The Homesteader,The Exile",,,
Moore,Tim,Tim Moore,,,,"Boy What a Girl,His Great Chance",,,
Moore,Gertrude,Gertrude Moore,,,,His Great Chance,,,
Moore,Judy,Judy Moore,,,,The Grafter and the Maid,,,
Moralis,Bertie,Bertie Moralis,,,,The Janitor,,,
Mordecai,Jimmy,Jimmy Mordecai,,,,St. Louis Blues,,,
Moreland,Mantan,Mantan Moreland,,,,,,,
Morr,, Morr,,,,,,,
Morrell,Stanley,Stanley Morrell,,,,The Exile,,,
Morris,Webb,Webb Morris,,,,,,Unknown (Jesus as a man of color),
Morris,Mae,Mae Morris,,,,Why Worry?,,,
Morrow,Guernsey,Guernsey Morrow,,,,,,,
Morton,Edna,Edna Morton,Edna Motton,,,"The Secret Sorrow,Spitfire,The Schemers,The Sport of the Gods,The Jazz Hounds,The Call of His People,The Burden of Race,The Simp,Easy Money,A Son of Satan,Uncle Remus' First Visit to New York",,,
Moses,Lucia Lynn,Lucia Lynn Moses,,,,The Scar of Shame,,,
Moses,Ethel,Ethel Moses,,,,Temptation,,,
Mosley,Thomas M.,Thomas M. Mosley,,,,The Colored American Winning His Suit,,,
Moss,Arthur G.,Arthur G. Moss,A Couple of Blackbirds,,,How High Is Up?,,,
Mummery,William,William Mummery,,,,,,,
Murphy,Bert,Bert Murphy,,,,"Are Working Girls Safe?,Aladdin Jones,A Black and Tan Mix-Up,A Black Sherlock Holmes,The Bully,The Comeback of Barnacle Bill,Dat Blackhand Waitah Man,Devil for a Day,Do the Dead Talk?,Fixing the Faker,The Porters,A Reckless Rover,Shine Johnson and the Rabbit Foot,When Cupid Went Wild,When You Are Scared Run,When You Hit Hit Hard,Wrong All Around,Ghosts,Good Luck in Old Clothes",,,
Murphy,Dudley,Dudley Murphy,,,,,St. Louis Blues,,
Muse,Clarence,Clarence Muse,,1/7/1889,,"The Custard Nine,Toussaint L'Ouverture,Heart of Dixie",Toussaint L'Ouverture,Toussaint L'Ouverture,
Nalpas,Alex,Alex Nalpas,,,,,,The Revue des Revues,
Nelson,Howard,Howard Nelson,,,,Nobody's Children,,,
Newsome,Nora,Nora Newsome,,,,The Exile,,,
Nicholson,Calvin,Calvin Nicholson,,,,The Flaming Crisis,,,
Noble,John W.,John W. Noble,,,,,The Birth of a Race,,
Noisette,Katherine,Katherine Noisette,,,4/16/35,"The Wages of Sin,A Daughter of the Congo,When Men Betray,The Exile",,,
Nolan,K.D.,K.D. Nolan,,,,Come Back,,,
Nolan,Kid,Kid Nolan,,,,"A Regeneration of Souls,Shoot 'Em Up Sam,The Comeback",,,
Norcom,Alfred,Alfred Norcom,,,,"Regeneration,Black Gold",,,
Norman,Richard E.,Richard E. Norman,,7/13/1891,11/7/60,,"Black Gold,The Flying Ace,Regeneration,The Crimson Skull,The Bull-Dogger,The Love Bug,Sleepy Sam the Sleuth","The Flying Ace,The Love Bug,The Crimson Skull,The Bull-Dogger,Black Gold,Regeneration,Sleepy Sam the Sleuth",
Norris,J.T.,J.T. Norris,,,,,,,
Offeman,Emil,Emil Offeman,,,,,,,
Oschmann,George,George Oschmann,,,,,,,
Ovey,George,George Ovey,,,,Dark and Cloudy,,,
Owens,Virgel,Virgel Owens,Virgil Owens,,,Absent,,,
Palmer,Harry,Harry Palmer,,,,,,,
Parker,Fred,Fred Parker,,,,A Chocolate Cowboy,,,
Parks,Jason,Jason Parks,,,,,,,
Parlam,Florence,Florence Parlam,,,,Peacock News Reel #2,,,
Patrick,E.,E. Patrick,,,,The $10000 Trail,,,
Patterson,Marguerite,Marguerite Patterson,,,,Foolish Lives,,,
Patterson,Warren,Warren Patterson,,,,Boy What a Girl,,,
Patton,Jonella,Jonella Patton,,,,Foolish Lives,,,
Paul,Ike,Ike Paul,,,,The Broken Violin,,,
Peacock,Leslie T.,Leslie T. Peacock,,,,,,,
Pearson,Charles,Charles Pearson,,,,The Flames of Wrath,,,
Penalver,Clarence,Clarence Penalver,,,,The Midnight Ace,,,
Peoples,Neva,Neva Peoples,,,,,,,
Peregini,Frank,Frank Peregini,,,,,The Scar of Shame,,
Peterson,William,William Peterson,,,,Deceit,,,
Pettus,William E.,William E. Pettus,,,,The Scar of Shame,,,
Phillips,R.G.,R.G. Phillips,,,,,"A Black Sherlock Holmes,Spying the Spy",,
Phillips,George,George Phillips,,,,,,,
Pickens,Albertine,Albertine Pickens,,,,The Law of Nature,,,
Pickett,Bill,Bill Pickett,,1/1/1870,1/1/32,"The Bull-Dogger,The Crimson Skull",,,
Pierson,Don,Don Pierson,,,,Hearts of the Woods,,,
Pillups,P.,P. Pillups,,,,A Giant of His Race,,,
Plater,Henry,Henry Plater,,,,The Brute,,,
Platts,Harold,Harold Platts,,,,The Flying Ace,,,
Pleasants,Henry,Henry Pleasants,Henry Pleasant,,,"The Secret Sorrow,Ties of Blood",,,
Pollard,R.L.,R.L. Pollard,,,,,,,
Pollard,Frank,Frank Pollard,,,,"A Black and Tan Mix-Up,A Black Sherlock Holmes,The Porters,A Reckless Rover,Shine Johnson and the Rabbit Foot,When Cupid Went Wild,When You Are Scared Run,When You Hit Hit Hard,Wrong All Around,The Janitor,Ghosts,Good Luck in Old Clothes",,,
Pollard,L.T.,L.T. Pollard,,,,,,,
Pope,Leo,Leo Pope,,,,Eleven P.M.,,,
Popkin,Harry,Harry Popkin,,,,,,,
Popkin,Leo,Leo Popkin,,,,,,,
Portman,Eric,Eric Portman,,,,The Assignment,,,
Preer,Evelyn,Evelyn Preer,,8/16/1896,11/27/32,"The Brute,Within Our Gates,Birthright,The Conjure Woman,Deceit,The Devil's Disciple,The Dungeon,The Homesteader,The Gunsaulus Mystery,Spider's Web,Georgia Rose,Oft in the Silly Night",,,
Prevost,Minnie,Minnie Prevost,,,,By Right of Birth,,,
Price,Mildred,Mildred Price,,,,"Are Working Girls Safe?,A Black and Tan Mix-Up,A Black Sherlock Holmes,The Bully,The Comeback of Barnacle Bill,Dat Blackhand Waitah Man,Devil for a Day,Do the Dead Talk?,Fixing the Faker,The Porters,A Reckless Rover,Shine Johnson and the Rabbit Foot,When Cupid Went Wild,When You Are Scared Run,When You Hit Hit Hard,Wrong All Around,The Janitor,Ghosts,Good Luck in Old Clothes",,,
Price,Victor,Victor Price,,,,Come Back,,,
Professor Hosay',, Professor Hosay',,,,,,,
Pryor,H.L.,H.L. Pryor,,,,Easy Money,,,
Purty,Jessie,Jessie Purty,,,,The Wife Hunters,,,
Quintette,Norman,Norman Quintette,,,,Harlem Mania,,,
Randol,George,George Randol,,11/19/1895,12/23/73,The Exile,,,
Ray,Arthur,Arthur Ray,,,,"Ties of Blood,The Burden of Race,Thirty Years Later,Oft in the Silly Night",,,
Ray,Ellen,Ellen Ray,,,,"Come Back,The Comeback",,,
Reavis,Teddy,Teddy Reavis,,,,A Chocolate Cowboy,,,
Redd,Clarence,Clarence Redd,,,,A Daughter of the Congo,,,
Reed,George,George Reed,,,,"Absent,Bishop of the Ozarks",,,
Reiger,Arthur C.,Arthur C. Reiger,,,,,,,
Reynolds,Steve,Steve Reynolds,Peg,7/7/1892,,"The Flying Ace,The Bull-Dogger,The Crimson Skull,Regeneration,Black Gold",,,
Reynolds,Sheldon,Sheldon Reynolds,,,,,The Assignment,,
Rice,Versia,Versia Rice,,,,As the World Rolls On,,,
Richardson,Sallie,Sallie Richardson,,,,The Law of Nature,,,
Ridley,Ethel,Ethel Ridley,,,,,,,
Riley,W.M.,W.M. Riley,,,,,,,
Roane,Charles B.,Charles B. Roane,,,,,,,
Robeson,Paul,Paul Robeson,,,,Body and Soul,,,
Robinson,Mademe,Mademe Robinson,Mme. Robinson,,,"Body and Soul,Spitfire,Thirty Years Later,A Daughter of the Congo",,,
Robinson,Bill,Bill Robinson,"Bill ""Bojangles"" Robinson",,,"Chicago's Business Activities and Scenes along State Street/Chicago Businesses and Secret Orders,Hello Bill",,,
Robinson,Arthur,Arthur Robinson,,,,Spitfire,,,
Robinson,Sam,Sam Robinson,,,,"Are Working Girls Safe?,A Black and Tan Mix-Up,A Black Sherlock Holmes,The Bully,The Comeback of Barnacle Bill,Dat Blackhand Waitah Man,Devil for a Day,Do the Dead Talk?,Fixing the Faker,The Porters,A Reckless Rover,Shine Johnson and the Rabbit Foot,When Cupid Went Wild,When You Are Scared Run,When You Hit Hit Hard,Wrong All Around,The Janitor,Ghosts,Good Luck in Old Clothes,Spying the Spy",,,
Robinson,James,James Robinson,,,,Tenderfeet,,,
Robinson,Walter,Walter Robinson,,,,A Son of Satan,,,
Rodgers,Marshall,Marshall Rodgers,Marshall Rogers,,,"Spider's Web,Body and Soul",,,
Rodgers,George E.,George E. Rodgers,,,,,,,
Rogers,Hilda,Hilda Rogers,,,,Temptation,,,
Ross,Clinton,Clinton Ross,,,,The $10000 Trail,,,
Roth,Murray,Murray Roth,,,,,,,
Rowland,Nina,Nina Rowland,,,,The $10000 Trail,,,
Rucker,Clarence,Clarence Rucker,,,,Regeneration,,,
Ruffin,James D.,James D. Ruffin,,,,Within Our Gates,,,
Russell,Julia Theresa,Julia Theresa Russell,,,,Body and Soul,,,
Russell,Alice B.,Alice B. Russell,,6/30/1892,12/1/84,"The Wages of Sin,When Men Betray,The Broken Violin,A Daughter of the Congo,Easy Street",,,
Russell,Sam,Sam Russell,,,,His Great Chance,,,
Russell,George,George Russell,,,,The Gunsaulus Mystery,,,
Sack,Alfred,Alfred Sack,,,,,,St. Louis Blues,
Sam Lucas,, Sam Lucas,,,,,,,
Sandifer,F.,F. Sandifer,,,,Deceit,,,
Sanforth,Clifford,Clifford Sanforth,,,,,,,
Sargent,E.W.,E.W. Sargent,,,,,,,
Saunders,Elsworth,Elsworth Saunders,,,,The Law of Nature,,,
Souders,Tressie,Tressie Souders,"Tressa Souders, Tressie Saunders",,,,Woman's Error,Woman's Error,
Saunders ,W.H,W.H Saunders ,,,,A Man's Duty,,,
Schooler,Lewis,Lewis Schooler,,,,"Deceit,The Brute",,,
Schroeder,Edward,Edward Schroeder,,,,,,,
Scott,Emmett J.,Emmett J. Scott,,,,,,The Birth of a Race,
Scraggins,Traverse,Traverse Scraggins,,,,,,,
Selby,J.G.,J.G. Selby,,,,The Wife Hunters,,,
Sewall,Alma,Alma Sewall,Alma Sewell,,,"Birthright,The Conjure Woman",,,
Sewall,Olivia,Olivia Sewall,,,,A Son of Satan,,,
Shackeford,Floyd,Floyd Shackeford,,,,Absent,,,
Shannon,Alex K.,Alex K. Shannon,,,,"The Simp,Easy Money",,,
Sherman,Kathryn,Kathryn Sherman,,,,The Flaming Crisis,,,
Shields,Russell,Russell Shields,,,,,,,
Shoecraft,Joseph,Joseph Shoecraft,,,,,,,
Simms,Margaret,Margaret Simms,,,,,,,
Simpson,Walter,Walter Simpson,,,,As the World Rolls On,,,
Sindle,W.D.,W.D. Sindle,,,,The Gunsaulus Mystery,,,
Sissle,Noble,Noble Sissle,,,,Sissle and Blake,Snappy Tunes,,
Skekeeter,Evon,Evon Skekeeter,,,,"Are Working Girls Safe?,A Black and Tan Mix-Up,A Black Sherlock Holmes,The Bully,The Comeback of Barnacle Bill,Dat Blackhand Waitah Man,Devil for a Day,Do the Dead Talk?,Fixing the Faker,The Porters,A Reckless Rover,Shine Johnson and the Rabbit Foot,When Cupid Went Wild,When You Are Scared Run,When You Hit Hit Hard,Wrong All Around,The Janitor,Ghosts,Good Luck in Old Clothes",,,
Skinner,C. Lucien,C. Lucien Skinner,,,,,,,
Slater,Bob,Bob Slater,,,,"Spitfire,The Schemers,Square Joe",,,
Slater,Mark,Mark Slater,,,,His Great Chance,,,
Slaughter,Cassie Butch,Cassie Butch Slaughter,,,,"The Railroad Porter,The Railroad Porter",,,
Smallwood,Mildred,Mildred Smallwood,,,,A Son of Satan,,,
Smart,Bobby,Bobby Smart,Bobbie Smart,,,"His Great Chance,A Shot in the Night,The Devil's Match,Devils Match",,,
Smith,James Thomas,James Thomas Smith,,,,,,,
Smith,Ethel,Ethel Smith,,,,"The Wages of Sin,Smiling Hate,When Men Betray,The Broken Violin,A Prince of His Race,Ten Nights in a Bar-Room ",,,
Smith,A.W.,A.W. Smith,Dr. A. W. Smith,,,,,,
Smith,Grace,Grace Smith,Grace Smythe,,,"The Millionaire,Spider's Web",,,
Smith,Speedy,Speedy Smith,,,,Spitfire,,,
Smith,Jimmie,Jimmie Smith,,,,The Trooper of Company K,,,
Smith,Elwood,Elwood Smith,,,,Boy What a Girl,,,
Smith,Henry,Henry Smith,,,,The $10000 Trail,,,
Smith,Inez,Inez Smith,,,,The Homesteader,,,
Smith,William,William Smith,,,,Within Our Gates,,,
Smith,Bessie,Bessie Smith,,,,St. Louis Blues,,,
Smith,Byron,Byron Smith,,,,Why Worry?,,,
Smith ,Pete,Pete Smith ,,,,The Midnight Ace,,,
Snead,Florence,Florence Snead,,,,The Colored American Winning His Suit,,,
Snead,Edgar,Edgar Snead,,,,The Colored American Winning His Suit,,,
Snead,Mrs. E.,Mrs. E. Snead,,,,The Colored American Winning His Suit,,,
Snelson,Gertrude,Gertrude Snelson,,,,"The Wages of Sin,When Men Betray,Thirty Years Later,The Broken Violin,A Daughter of the Congo",,,
Snowden,Carolynne,Carolynne Snowden,,,,,,,
Southern ,Tom,Tom Southern ,,,,Harlem Rides The Range,,,
Starkman,David,David Starkman,,,,,,"Children of Fate,A Prince of His Race,Ten Nights in a Bar-Room ,The Scar of Shame",
Starks,Will,Will Starks,,,,"Are Working Girls Safe?,A Black and Tan Mix-Up,A Black Sherlock Holmes,The Bully,The Comeback of Barnacle Bill,Dat Blackhand Waitah Man,Devil for a Day,Do the Dead Talk?,Fixing the Faker,The Porters,Within Our Gates,A Reckless Rover,Shine Johnson and the Rabbit Foot,When Cupid Went Wild,When You Are Scared Run,When You Hit Hit Hard,Wrong All Around,The Janitor,Ghosts,Good Luck in Old Clothes",,,
Stern,Ernest,Ernest Stern,,,,,The Witching Eyes,The Witching Eyes,
Steven,James,James Steven,,,,The Call of His People,,,
Stevens,V.,V. Stevens,,,,The Wife Hunters,,,
Stewart,Robert,Robert Stewart,,,,The Love Bug,,,
Stewart,Siam,Siam Stewart,,,,Boy What a Girl,,,
Stewart,Kink,Kink Stewart,Dink Stewart,,,A Son of Satan,,,
Strasser,Ben,Ben Strasser,,,,,His Great Chance,A Shot in the Night,
Strenge,Walter,Walter Strenge,,,,,,,St. Louis Blues
Sul-Te-Wan,Madame,Madame Sul-Te-Wan,Nellie Wan,3/7/1873,2/1/59,,,,
Sutton,Susie,Susie Sutton,,,,"The Brute,The Midnight Ace",,,
Talley,Josephine,Josephine Talley,,,,Smiling Hate,,,
Tatum,E.G.,E.G. Tatum,Edward Tatum,,,"Birthright,Body and Soul,The Custard Nine,Within Our Gates,The Brute,The Symbol of the Unconquered,The Gunsaulus Mystery,A Son of Satan,The Millionaire",,,
Tatums,Marshal L.B.,Marshal L.B. Tatums,,,,Black Gold,,,
Taylor,Ruby,Ruby Taylor,,,,The Fall of the Mighty,,,
Teal,Joel,Joel Teal,,,,The $10000 Trail,,,
Teycer,B.L.,B.L. Teycer,,,,,,,The Wife Hunters
Thomas,Walter,Walter Thomas,,,,"The Sport of the Gods,The Schemers",,,
Thomas,Reed,Reed Thomas,,,,As the World Rolls On,,,
Thomas,D. Ireland,D. Ireland Thomas,,,,,A Man's Duty,,
Thompson,Blanche,Blanche Thompson,Blanch Thompson,,,"As the World Rolls On,The Dungeon",,,
Thompson,Edward,Edward Thompson,Eddie Thompson,,,"The Devil's Disciple,Spider's Web,Georgia Rose,Oft in the Silly Night",,,
Thompson,Anita,Anita Thompson,,,,By Right of Birth,,,
Thompson,Walker,Walker Thompson,,,,The Symbol of the Unconquered,,,
Thorton,Willard,Willard Thorton,,,,,,,
Tolliver Brothers,, Tolliver Brothers,,,,A Shot in the Night,,,
Tones,Four,Four Tones,,,,Harlem Rides The Range,,,
Townsend,Edward,Edward Townsend,,,,The Wife Hunters,,,
Truate,A.B.,A.B. Truate,,,,A Day in the Nation's Capital,,,
Tucker,Lorenzo,Lorenzo Tucker,,6/27/07,8/19/86,"The Wages of Sin,Temptation,The Witching Eyes,When Men Betray,A Daughter of the Congo,Easy Street",,,
Turnham,Frances,Frances Turnham,,,,Bargain with Bullets,,,
Turpin,Bennie,Bennie Turpin,,,,The Bull-Dogger,,,
Turpin,Charles H.,Charles H. Turpin,,,,,Turpin's Real Reels,Pythian Parade and 19th Biannual Encampment,
Tutt,Homer J.,Homer J. Tutt,"J. Homer Tutt, Homer Tutt Whitney",1/31/1882,2/10/51,"Birthright,The Broken Violin",,,
Tyler,Willes O.,Willes O. Tyler,,,,,,,
Ujiffy,Ray,Ray Ujiffy,,,,,,,
Varna,Henri,Henri Varna,,,,The Revue des Revues,,,
Vernon,Lou,Lou Vernon,,,12/22/71,The Exile,,,
Vernot,Henry J.,Henry J. Vernot,,,,,The Sport of the Gods,,
Verwayen,Percy,Percy Verwayen,Percy Verwayn,,,"The Secret Sorrow,The Call of His People,The Burden of Race,The Simp,Easy Money,Body and Soul,The Conjure Woman,A Daughter of the Congo,The Devil's Disciple",,,
Wade,John H,John H Wade,,,,,The Midnight Ace,,
Walcott,Joe,Joe Walcott,,,,"Haynes Newsreel No. 1,Haynes Newsreel No. 3",,,
Walker,C.J.,C.J. Walker,Madame C.J. Walker,,,,,Pythian Conclave and League Parley,
Walker,Ruth,Ruth Walker,,,,For His Mother's Sake,,,
Walker,Clarence,Clarence Walker,,,,,,,
Walpole,Stanley,Stanley Walpole,,,,The Sport of the Gods,,,
Walthall,Henry B.,Henry B. Walthall,,,,The Confession,,,
Walton,J.T.,J.T. Walton,,,,The Wife Hunters,,,
Ward,Norman,Norman Ward,,,,A Modern Cain,,,
Wardner,Chappy,Chappy Wardner,,,,,,,
Washington,Mildred,Mildred Washington,,,,"Tenderfeet,Heart of Dixie",,,
Washington,Flora,Flora Washington,,,,Tenderfeet,,,
Washington,Isabel,Isabel Washington,,,,St. Louis Blues,,,
Washington,Fred C.,Fred C. Washington,,,,Georgia Rose,,,
Washington ,Booker T.,Booker T. Washington ,,4/5/1856,11/14/15,"The Leader of His Race ,A Trip to Tuskegee,A Day at Tuskegee,YMCA Dedication",,,
Watkins,Mary,Mary Watkins,,,,Deceit,,,
Watkins,Cornelious,Cornelious Watkins,,,,Deceit,,,
Watkins of Durham,, Watkins of Durham,,,,,,,Reckless Money
Watson,Ethel,Ethel Watson,,,,Come Back,,,
